knuthMorrisPratt - bin_text_10000;24909;25109;25309;25509;25709;25909;26109;26309;26509;26709;26909;27109;27309;27509;27709;27909;28109;28309;28509;28709;28909;29109;29309;29509;29709;29909;30109;30309;30509;30709
knuthMorrisPratt - bin_text_100000;237052;237252;237452;237652;237852;238052;238252;238452;238652;238852;239052;239252;239452;239652;239852;240052;240252;240452;240652;240852;241052;241252;241452;241652;241852;242052;242252;242452;242652;242852
knuthMorrisPratt - quad_text_10000;22679;22879;23079;23279;23479;23679;23879;24079;24279;24479;24679;24879;25079;25279;25479;25679;25879;26079;26279;26479;26679;26879;27079;27279;27479;27679;27879;28079;28279;28479
knuthMorrisPratt - quad_text_100000;223650;223850;224050;224250;224450;224650;224850;225050;225250;225450;225650;225850;226050;226250;226450;226650;226850;227050;227250;227450;227650;227850;228050;228250;228450;228650;228850;229050;230842;231042
knuthMorrisPrattAdvanced - bin_text_10000;23892;24192;24492;24797;25103;25404;25705;26007;26308;26608;26912;27215;27515;27815;28117;28418;28719;29022;29322;29623;29926;30228;30530;30831;31131;31432;31732;32032;32333;32634
knuthMorrisPrattAdvanced - bin_text_100000;246923;247224;247524;247825;248126;248428;248728;249029;249332;249632;249932;250232;250533;250833;251133;251435;251737;252039;252342;252643;252944;253246;253548;253850;254151;254453;254755;255055;255356;255657
knuthMorrisPrattAdvanced - quad_text_10000;22783;23083;23383;23683;23983;24283;24583;24883;25183;25483;25783;26083;26383;26683;26983;27283;27583;27883;28183;28483;28783;29083;29383;29683;29983;30283;30583;30883;31183;31483
knuthMorrisPrattAdvanced - quad_text_100000;225341;225641;225941;226241;226541;226841;227141;227441;227741;228041;228341;228641;228941;229241;229541;229841;230141;230441;230741;231041;231341;231641;231941;232241;232541;232841;233141;233441;233741;234041
naiveAlgorithm - bin_text_10000;19965;19853;19759;19649;19565;19487;19390;19308;19200;19088;18992;18888;18798;18702;18604;18500;18398;18306;18178;18068;17966;17858;17751;17644;17557;17478;17357;17262;17154;17025
naiveAlgorithm - bin_text_100000;199869;199770;199674;199584;199483;199384;199283;199187;199090;198991;198892;198796;198685;198594;198504;198400;198299;198208;198107;198011;197918;197822;197724;197635;197525;197431;197329;197226;197131;197029
naiveAlgorithm - quad_text_10000;13295;13263;13238;13208;13175;13140;13113;13079;13049;13017;12990;12966;12931;12899;12865;12823;12791;12758;12721;12697;12669;12643;12625;12595;12546;12515;12481;12449;12415;12378
naiveAlgorithm - quad_text_100000;133565;133527;133490;133460;133427;133392;133358;133326;133289;133267;133234;133192;133156;133126;133095;133065;133038;133010;132970;132940;132896;132875;132833;132801;132751;132712;132671;132640;132608;132578
