bin_text_10000 - knuthMorrisPratt;24781;24981;25181;25381;25581;25781;25981;26181;26381;26581;26781;26981;27181;27381;27581;27781;27981;28181;28381;28581;28781;28981;29181;29381;29581;29781;29981;30181;30381;30581
bin_text_100000 - knuthMorrisPratt;240135;240335;240535;240735;240935;241135;241335;241535;241735;241935;242135;242335;242535;242735;242935;243135;243335;243535;243735;243935;244135;244335;244535;244735;244935;245135;245335;245535;245735;245935
quad_text_10000 - knuthMorrisPratt;22730;22930;23130;23330;23530;23730;23930;24130;24330;24530;24730;24930;25130;25330;25530;25730;25930;26130;26330;26530;26730;26930;27130;27330;27530;27730;27930;28130;28330;28530
quad_text_100000 - knuthMorrisPratt;225252;225452;225652;225852;226052;226252;226452;226652;226852;227052;227252;227452;227652;227852;228052;228252;228452;228652;228852;229052;229252;229452;229652;229852;230052;230252;230452;230652;230852;231052
bin_text_10000 - knuthMorrisPrattAdvanced;24228;24536;24844;25151;25456;25763;26071;26378;26683;26991;27295;27602;27905;28207;28512;28822;29128;29436;29743;30047;30351;30660;30964;31267;31571;31874;32183;32487;32794;33105
bin_text_100000 - knuthMorrisPrattAdvanced;227204;227521;227834;228154;228462;228783;229093;229408;229715;230028;230337;230647;230965;231273;231590;231904;232214;232522;232827;233136;233454;233767;234079;234390;234693;235004;235318;235630;235945;236256
quad_text_10000 - knuthMorrisPrattAdvanced;22829;23129;23429;23729;24029;24329;24629;24929;25229;25529;25829;26129;26429;26729;27029;27329;27629;27929;28229;28529;28829;29129;29429;29729;30029;30329;30629;30929;31229;31529
quad_text_100000 - knuthMorrisPrattAdvanced;225351;225651;225951;226251;226551;226851;227151;227451;227751;228051;228351;228651;228951;229251;229551;229851;230151;230451;230751;231051;231351;231651;231951;232251;232551;232851;233151;233451;233751;234051
bin_text_10000 - naiveAlgorithm;19803;19695;19587;19487;19377;19246;19142;19037;18951;18868;18768;18681;18579;18471;18358;18266;18171;18067;17978;17881;17780;17689;17593;17501;17379;17279;17199;17097;17009;16927
bin_text_100000 - naiveAlgorithm;198627;198536;198425;198298;198201;198101;197980;197909;197770;197676;197582;197435;197349;197274;197170;197050;196963;196857;196738;197217;197110;197014;196902;196812;196716;196631;196502;196403;196306;196197
quad_text_10000 - naiveAlgorithm;13262;13235;13202;13169;13138;13104;13066;13027;12991;12958;12911;12879;12851;12821;12785;12755;12713;12689;12661;12621;12589;12556;12504;12464;12433;12404;12377;12351;12313;12280
quad_text_100000 - naiveAlgorithm;133524;133488;133452;133422;133386;133348;133310;133280;133246;133224;133193;133144;133112;133087;133056;133024;132997;132970;132928;132898;132853;132835;132793;132760;132715;132676;132633;132599;132566;132535
