bin_text_10000 - knuthMorrisPratt;622985.74;442594.59;433260.40;438949.15;441135.01;444641.24;450544.20;453589.61;459000.83;468164.17;472447.96;470358.30;474846.68;479940.84;482374.17;486979.14;491697.90;495396.67;499233.35;504052.91;506886.24;483934.60;477705.00;481284.56;485222.95;490279.20;496369.60;498476.24;504402.10;507238.35
bin_text_100000 - knuthMorrisPratt;3987833.72;4015367.07;4046542.06;4030607.10;3865756.26;3865916.65;3991841.69;4084193.80;4089523.79;4121889.62;4126192.04;4035619.97;3978744.18;3967803.32;3895050.42;3922074.59;3916906.21;3880239.53;3916985.40;4261242.51;4245545.44;4082325.45;3979202.04;3978973.28;3986170.03;3988572.43;4037516.67;4037968.74;4060650.00;4351665.82
quad_text_10000 - knuthMorrisPratt;268135.02;271390.00;276337.94;283741.26;288420.41;291310.39;296423.35;299610.00;301387.89;306057.98;310602.49;314521.27;319621.28;322236.66;332168.72;332145.42;342034.96;365655.81;367127.12;370793.31;368655.00;366304.56;372712.51;375808.77;381688.32;384131.67;387643.30;391410.85;395834.61;399444.98
quad_text_100000 - knuthMorrisPratt;2769454.13;2768602.06;2894068.77;2774799.58;2781481.22;2793899.20;2962682.13;2884817.87;2866731.21;2836983.34;2883057.92;2839124.58;2856812.14;2867737.99;2845210.81;2904132.95;2889343.74;2874082.54;2839720.81;2857925.85;2895930.39;2899846.32;2893042.55;2937417.11;2953654.19;2940193.35;2921376.20;2955490.05;2942172.03;2896055.01
bin_text_10000 - knuthMorrisPrattAdvanced;414982.09;424906.69;429953.73;438356.21;444977.09;455376.26;466637.88;468950.88;482384.15;485935.43;494415.83;507057.50;506379.15;518739.98;525107.52;536238.73;551466.63;555556.67;553095.40;555194.14;565632.52;575941.64;577977.91;584392.51;604527.49;606988.74;613970.45;619681.66;630415.45;632388.73
bin_text_100000 - knuthMorrisPrattAdvanced;4137523.34;4099788.73;4122578.34;4093828.68;4116685.80;4042850.41;4034441.64;4009938.81;4316740.02;4324874.99;4178373.71;4166843.76;4153710.02;4226647.10;4289951.66;4164139.61;4185730.40;4212012.10;4202094.58;4146228.27;3534136.22;3516720.01;3754932.89;4240380.84;4259755.86;4258389.14;4287710.35;4331132.04;4344254.99;4312159.63
quad_text_10000 - knuthMorrisPrattAdvanced;288322.48;296721.24;303717.07;313642.52;316344.58;323321.21;332884.97;339658.31;345380.83;354140.82;368841.25;369498.34;378520.84;382716.25;391210.00;399051.29;412498.34;419807.90;422442.12;426897.09;433507.13;445667.92;455037.47;457119.53;462082.51;469933.33;479693.33;487217.14;502332.52;500083.30
quad_text_100000 - knuthMorrisPrattAdvanced;2756908.35;2767379.99;2779867.51;2791442.93;2799659.17;2864977.91;2809755.87;2819525.44;2905909.54;2836651.22;2821291.67;2823356.68;2849155.42;2673589.22;2643841.26;2647118.74;2727893.72;2898045.43;2911050.48;2914955.44;2759679.63;2700191.26;2714734.17;2743297.90;2960116.71;2961924.55;2962177.10;2932337.16;2909065.83;2934057.54
bin_text_10000 - naiveAlgorithm;767320.04;764341.65;748599.98;740308.73;730256.68;728439.15;730600.41;724710.40;724776.26;709316.24;703239.98;689027.07;684414.21;689059.98;682413.73;674744.99;669545.39;672540.81;670097.05;671616.23;662992.49;660712.95;655374.22;646494.21;639473.75;633659.17;624091.64;615366.22;608486.64;609090.85
bin_text_100000 - naiveAlgorithm;7817180.82;7738451.60;7655475.40;7641931.30;7671874.62;7712802.49;7641043.71;7485884.60;7679857.07;7677983.34;7638389.16;7506057.93;7521233.35;7582995.43;7631945.44;7663331.27;7582040.40;7560680.06;7526119.95;7503056.20;7409664.99;7468982.11;7515664.63;7544394.16;7631437.10;7596910.39;7540334.15;7505447.44;7508215.86;7534525.00
quad_text_10000 - naiveAlgorithm;513348.34;508795.42;506271.27;503077.10;499305.50;495865.03;500076.26;489781.25;486744.52;493263.77;481570.39;477387.06;474640.41;498460.40;472592.50;465965.43;462289.99;459287.49;456105.42;452223.74;449321.68;448097.50;443572.06;442169.17;438112.91;435156.68;432987.50;432568.33;426414.99;425955.38
quad_text_100000 - naiveAlgorithm;5152613.80;5146387.05;5152374.54;5135990.47;5136032.49;5171844.19;5156771.26;5121047.92;5109497.09;5123435.06;5122040.01;5123598.31;5126953.36;5124497.12;5104382.89;5100608.30;5109565.86;5098540.82;5090273.34;5103006.16;5091598.79;5098950.44;5074064.60;5089997.16;5095107.10;5082597.04;5084848.75;5064042.12;5061965.88;5083017.46
